study,subgroup,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
secondary_hepatic_smoking,male,clinical,15,455,hypertension,0.0015766384330971554,0.9096282291651339,0.0015324406292549953,0.007090756534822761,0.2161180717077462,0.5558315905567766,1.0
secondary_hepatic_smoking,male,clinical,15,455,aortic_aneurysm,0.005101945594755856,0.8340140936440124,0.005138750461066265,0.0024047558565432705,2.136911506872465,-0.27339946045229946,2.0
secondary_hepatic_smoking,male,clinical,15,455,chronic_respiratory,0.005439701740479008,0.7504383953424366,0.005490170732206389,0.00617844758920219,0.8886003567953424,0.06882768569958006,5.0
secondary_hepatic_smoking,male,clinical,15,455,dementia,0.004635774264810795,0.8632520111726432,0.004653892386140644,0.0010420863051279316,4.465937574689948,-0.3611806081012713,2.0
secondary_hepatic_smoking,male,clinical,15,455,diabetes,0.00706659487441727,0.9346359928305944,0.0071633774072036305,0.002800441476061874,2.557945762636377,-0.43629359311417565,2.0
secondary_hepatic_smoking,male,clinical,15,455,renal,2.9120559660045615e-06,,0.0,0.0013330912795525868,0.0,0.13330912795525868,0.0
secondary_hepatic_smoking,male,clinical,15,455,chronic_liver,0.010969787428808369,0.535896030795914,0.011027450124090144,0.0029673092050066276,3.7163131181219495,-0.8060140919083516,3.0
secondary_hepatic_smoking,male,clinical,15,455,lung_cancer,0.005930311808538099,0.8518352890135066,0.005783063673957149,0.01909837573322282,0.30280395331720006,1.3315312059265672,7.0
secondary_hepatic_smoking,male,clinical,15,455,colorectal_cancer,0.0027242960779891904,0.39655931635927755,0.00269500284036781,0.006168032964704975,0.43693068045992767,0.34730301243371653,2.0
secondary_hepatic_smoking,male,clinical,15,455,pancreatic_cancer,0.0021167278507100385,0.7297851664538751,0.002088052869705912,0.0062163179005042665,0.3358986627013605,0.4128265030798354,3.0
secondary_hepatic_smoking,male,clinical,15,455,breast_cancer,1.7407245982637294e-06,,0.0,0.0010480815354367476,0.0,0.10480815354367476,0.0
secondary_hepatic_smoking,male,clinical,15,455,prostate_cancer,0.003480478498748322,0.8611577608177571,0.003488987569156307,0.008334467759489272,0.4186215208744306,0.4845480190332965,4.0
secondary_hepatic_smoking,male,clinical,15,455,gastric_cancer,0.0031033995417080627,0.7400958050124959,0.0031132301920617366,0.003510666413977536,0.8867918010285946,0.039743622191579925,2.0
secondary_hepatic_smoking,male,clinical,15,455,hematologic_cancer,0.004048762864878791,0.632911851683053,0.004060420428114264,0.004857375874325835,0.8359288087166649,0.07969554462115713,3.0
secondary_hepatic_smoking,male,clinical,15,455,infection,0.006861832956814641,0.8782115519416975,0.006990447179639395,0.005652375416830269,1.236727333932021,-0.13380717628091254,4.0
secondary_hepatic_smoking,male,clinical,15,455,external,0.01058708046005102,0.4163343582809863,0.010603269825896301,0.009686278337921581,1.0946691242997548,-0.09169914879747204,8.0
secondary_hepatic_smoking,male,clinical,15,455,other_or_unresolved,0.05025223353507084,0.7451673292980739,0.05514304320744928,0.05336858262453277,1.0332491607543801,-0.17744605829165122,33.0
secondary_hepatic_smoking,age25_49,clinical,15,451,multistate,0.13811273462105805,,,,,,
secondary_hepatic_smoking,age25_49,clinical,15,451,all_cause,0.0651754180642037,0.7392148274889566,0.07465957917266591,0.07301099208235087,1.0225799847844221,-0.164858709031504,46.0
secondary_hepatic_smoking,age25_49,clinical,15,451,ihd,0.02160869312130277,0.78762412015817,0.022552109233706024,0.018769385892309306,1.201536873028258,-0.3782723341396718,8.0
secondary_hepatic_smoking,age25_49,clinical,15,451,heart_failure,0.0035945494678439834,0.8379447498908924,0.0036099899956509207,0.001704102832964376,2.118410888016162,-0.19058871626865448,3.0
secondary_hepatic_smoking,age25_49,clinical,15,451,stroke,0.002976748330159986,0.955384975817904,0.003010806045343317,0.00474585548062347,0.6344074440605981,0.1735049435280153,2.0
secondary_hepatic_smoking,age25_49,clinical,15,451,hypertension,8.304537048277591e-06,,0.0,0.0022135886774561613,0.0,0.22135886774561614,0.0
secondary_hepatic_smoking,age25_49,clinical,15,451,aortic_aneurysm,9.797448734289974e-07,,0.0,0.0007158302925789705,0.0,0.07158302925789704,0.0
secondary_hepatic_smoking,age25_49,clinical,15,451,chronic_respiratory,0.001475017287879823,0.9136696206853776,0.0014810336029641058,0.002565121891652345,0.5773735773663705,0.10840882886882391,2.0
secondary_hepatic_smoking,age25_49,clinical,15,451,dementia,2.3261258728379617e-07,,0.0,0.0004109585376718265,0.0,0.04109585376718265,0.0
secondary_hepatic_smoking,age25_49,clinical,15,451,diabetes,2.0616808868246747e-06,,0.0,0.0011697890881784522,0.0,0.11697890881784523,0.0
secondary_hepatic_smoking,age25_49,clinical,15,451,renal,3.5109878565978684e-07,,0.0,0.0005001269739144719,0.0,0.05001269739144719,0.0
secondary_hepatic_smoking,age25_49,clinical,15,451,chronic_liver,0.005352999989489135,0.805133476134337,0.005367983491714695,0.0008475201415600683,6.33375329798488,-0.45204633501546265,1.0
secondary_hepatic_smoking,age25_49,clinical,15,451,lung_cancer,0.0019073432771556475,0.5319108857813686,0.0018682976771134587,0.00513953289519618,0.3635150732977543,0.3271235218082721,1.0
secondary_hepatic_smoking,age25_49,clinical,15,451,colorectal_cancer,0.0012779704621665798,0.15616428039807864,0.0012709830387963197,0.0027939820429141167,0.45490021742254555,0.1522999004117797,1.0
secondary_hepatic_smoking,age25_49,clinical,15,451,pancreatic_cancer,6.004680088920079e-06,,0.0,0.001747707110442421,0.0,0.1747707110442421,0.0
secondary_hepatic_smoking,age25_49,clinical,15,451,breast_cancer,0.0007716932562357764,0.7535718101190167,0.0007708363578729643,0.0015768673106280047,0.4888403435581211,0.08060309527550404,1.0
secondary_hepatic_smoking,age25_49,clinical,15,451,prostate_cancer,1.0709927623376098e-05,,0.0,0.001942613498556335,0.0,0.1942613498556335,0.0
secondary_hepatic_smoking,age25_49,clinical,15,451,gastric_cancer,1.4853983416374129e-06,,0.0,0.0008846566202661619,0.0,0.0884656620266162,0.0
secondary_hepatic_smoking,age25_49,clinical,15,451,hematologic_cancer,0.0008019922767897773,0.4188164573441419,0.0007973193466088782,0.0024402903142834195,0.32673134911122553,0.16429709676745413,1.0
secondary_hepatic_smoking,age25_49,clinical,15,451,infection,0.0025938973372062754,0.8989704253330271,0.0026077103002605513,0.002059946628095305,1.2659115846470872,-0.05477636721652464,3.0
secondary_hepatic_smoking,age25_49,clinical,15,451,external,0.013418818984662715,0.5435905004878077,0.013503231518651751,0.0036302580270656483,3.7196340915652395,-0.9872973491586102,8.0
secondary_hepatic_smoking,age25_49,clinical,15,451,other_or_unresolved,0.01712746308572648,0.7697336376222806,0.017819278563982934,0.017152857825993833,1.038851877905686,-0.06664207379891013,15.0
secondary_hepatic_smoking,age50_64,clinical,15,303,multistate,0.40182582659923954,,,,,,
secondary_hepatic_smoking,age50_64,clinical,15,303,all_cause,0.16917511147746078,0.7065480926893344,0.2479838192745055,0.2627353416825522,0.9438540612253448,1.4751522408046696,80.0
secondary_hepatic_smoking,age50_64,clinical,15,303,ihd,0.06793224520511956,0.7120108076088812,0.07690269797231149,0.07948345018173258,0.9675309488513595,0.2580752209421097,27.0
secondary_hepatic_smoking,age50_64,clinical,15,303,heart_failure,4.129725427445055e-05,,0.0,0.005734126310432678,0.0,0.5734126310432678,0.0
secondary_hepatic_smoking,age50_64,clinical,15,303,stroke,0.003728151513802392,0.5006766575941212,0.0033806990406496833,0.018450299800327034,0.18323274294923705,1.506960075967735,3.0
secondary_hepatic_smoking,age50_64,clinical,15,303,hypertension,0.004916305742464168,0.8512396818868461,0.004972798172845037,0.007625804388666204,0.652101459648745,0.2653006215821167,2.0
