study,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
primary,clinical,15,3490,heart_failure,0.0019726139144109487,0.7439188388571031,0.001970640083391077,0.003862508386147909,0.5101969721174903,0.1891868302756832,16.0
primary,clinical,15,3490,stroke,0.009917276359672744,0.8651829007579994,0.010392031111449736,0.0137084662228906,0.75807394806116,0.33164351114408647,93.0
primary,clinical,15,3490,hypertension,0.002841302865154343,0.8537676663704354,0.002897194748008558,0.0037230655684660865,0.7781745163306942,0.08258708204575285,18.0
primary,clinical,15,3490,aortic_aneurysm,0.0021778295616484743,0.8786322776914754,0.0021867841199242166,0.0010647850670815,2.0537328964595982,-0.11219990528427165,8.0
primary,clinical,15,3490,chronic_respiratory,0.0072175944710206,0.8660047316965809,0.0074464668057180215,0.008350690164440667,0.891718727324712,0.09042233587226453,34.0
primary,clinical,15,3490,dementia,0.000982872896736771,0.92626606420933,0.0009835194489354398,0.0018305161346134381,0.5372907839149618,0.08469966856779984,3.0
primary,clinical,15,3490,diabetes,0.0048953313220902826,0.8407338105473005,0.004967170357738753,0.0032776484070613354,1.515467719794938,-0.16895219506774173,23.0
primary,clinical,15,3490,renal,0.0012876934798583916,0.8778721207063714,0.0012898210592668848,0.0016417384246614649,0.7856434617669699,0.035191736539458,10.0
primary,clinical,15,3490,chronic_liver,0.002122071685387663,0.650845724099755,0.0021187253807054365,0.0022766990236234696,0.9306128560346062,0.015797364291803312,7.0
primary,clinical,15,3490,lung_cancer,0.008839236228527883,0.7278629248897822,0.00896424901059049,0.0091745970412241,0.977072777181553,0.021034803063360932,45.0
primary,clinical,15,3490,colorectal_cancer,0.004910152964262565,0.7534888442609787,0.004954979289904334,0.0043960463677237965,1.1271444555917967,-0.05589329221805375,31.0
primary,clinical,15,3490,pancreatic_cancer,0.003984330763087885,0.8139790828634976,0.004025862268336252,0.002446049851117021,1.645862722911305,-0.15798124172192313,17.0
primary,clinical,15,3490,breast_cancer,0.002848481523945318,0.7139344002137951,0.0028209786871322856,0.005686609940971967,0.4960738852171243,0.2865631253839681,12.0
primary,clinical,15,3490,prostate_cancer,0.002631795727440667,0.9262371283833131,0.002669834590907004,0.003281075142680585,0.8137072376604557,0.06112405517735807,21.0
primary,clinical,15,3490,gastric_cancer,0.0021944227301162176,0.8647781644736671,0.0022105331572004317,0.002174487946853951,1.0165764130349084,-0.003604521034648086,9.0
primary,clinical,15,3490,hematologic_cancer,0.004557224017944292,0.7024697670614504,0.0045830852816625455,0.006010887596909557,0.7624639801980155,0.14278023152470115,14.0
primary,clinical,15,3490,infection,0.008517627802294132,0.8022757194809446,0.00871535162546539,0.0066573205217344035,1.3091380529166434,-0.20580311037309856,38.0
primary,clinical,15,3490,external,0.008840105328530638,0.5673164768828707,0.00890408892116714,0.00698449132214301,1.2748371370923475,-0.191959759902413,37.0
primary,clinical,15,3490,other_or_unresolved,0.03639865306372574,0.7950939494338275,0.039324939784047434,0.05024103542355221,0.7827255042122901,1.0916095639504777,193.0
primary,laboratory,15,3490,multistate,0.2795027161374093,,,,,,
primary,laboratory,15,3490,all_cause,0.11036913293381753,0.8375799138600735,0.18132610376070268,0.1915367308604236,0.9466910234196197,1.0210627099720926,932.0
primary,laboratory,15,3490,ihd,0.05210209042641026,0.808058299708858,0.05989984802915125,0.05560652480159193,1.0772089829903633,-0.429332322755932,303.0
primary,laboratory,15,3490,heart_failure,0.0019717377279736357,0.7473892733713895,0.001970640083391077,0.0038168883249115465,0.5162949281301661,0.18462482415204695,16.0
primary,laboratory,15,3490,stroke,0.009889966105967997,0.8738754901964848,0.010392031111449736,0.01349080935880525,0.7703044965695117,0.3098778247355515,93.0
primary,laboratory,15,3490,hypertension,0.00285802671409011,0.8469595875334127,0.002897194748008558,0.003508934534891476,0.8256622399762616,0.06117397868829182,18.0
primary,laboratory,15,3490,aortic_aneurysm,0.0021782145148830693,0.8462420343437796,0.0021867841199242166,0.001003988151677478,2.1780975365799944,-0.11827959682467386,8.0
primary,laboratory,15,3490,chronic_respiratory,0.007238651991535783,0.859294170843662,0.0074464668057180215,0.008036568930225186,0.9265728783476471,0.05901021245071644,34.0
primary,laboratory,15,3490,dementia,0.000982191818406597,0.8365623104843841,0.0009835194489354398,0.0016861723176220835,0.5832852542155617,0.07026528686866437,3.0
primary,laboratory,15,3490,diabetes,0.004913862272787216,0.8474460041694186,0.004967170357738753,0.00324631651655965,1.5300942876028651,-0.17208538411791025,23.0
primary,laboratory,15,3490,renal,0.0012839955532998474,0.8987796094428259,0.0012898210592668848,0.00159522728428062,0.808550024173226,0.030540622501373512,10.0
primary,laboratory,15,3490,chronic_liver,0.002118132323426355,0.5219878158140966,0.0021187253807054365,0.002202927084587174,0.9617773531993608,0.008420170388173751,7.0
primary,laboratory,15,3490,lung_cancer,0.008817520359100113,0.7269380888016934,0.00896424901059049,0.009234476972588878,0.9707370582220827,0.027022796199838682,45.0
primary,laboratory,15,3490,colorectal_cancer,0.004911255674835662,0.7208405781155949,0.004954979289904334,0.004497959269668455,1.1016060824111389,-0.04570200202358787,31.0
primary,laboratory,15,3490,pancreatic_cancer,0.003996926368420374,0.8037252384516765,0.004025862268336252,0.0024873952484888175,1.6185052499324781,-0.15384670198474348,17.0
primary,laboratory,15,3490,breast_cancer,0.002870292843805637,0.7332838245391385,0.0028209786871322856,0.005793727817621615,0.48690217696321236,0.29727491304893294,12.0
primary,laboratory,15,3490,prostate_cancer,0.0026156030177897664,0.9509100136965807,0.002669834590907004,0.0031571851224095476,0.8456376447350671,0.04873505315025435,21.0
primary,laboratory,15,3490,gastric_cancer,0.0022016784309610233,0.7880660397567736,0.0022105331572004317,0.0020851711434139285,1.0601207311843264,-0.012536201378650315,9.0
primary,laboratory,15,3490,hematologic_cancer,0.004547560282769646,0.7583067493745519,0.0045830852816625455,0.006153355523525549,0.744810740114148,0.15702702418630038,14.0
primary,laboratory,15,3490,infection,0.008527192124086815,0.79888830724489,0.00871535162546539,0.006512323258677262,1.3382860892006136,-0.22030283667881267,38.0
primary,laboratory,15,3490,external,0.008855264658293385,0.5615040013231379,0.00890408892116714,0.007093623054272662,1.255224425239792,-0.18104658668944779,37.0
primary,laboratory,15,3490,other_or_unresolved,0.036253419994748466,0.8004041479608345,0.039324939784047434,0.05032715614460445,0.7813860904648681,1.1002216360557018,193.0
