panel_or_contrast,outcome,metric,horizon,lower,upper,valid_replicates,undefined_replicates,interpretation
laboratory,stroke,mean_bias_pp,15,-0.024733949727817364,0.6258526690231904,1000,0,conditional_fixed_models
laboratory,hypertension,brier,15,0.0013395075192822556,0.004770965554486518,1000,0,conditional_fixed_models
laboratory,hypertension,auc,15,0.7401543335577392,0.9807921226693148,1000,0,conditional_fixed_models
laboratory,hypertension,mean_bias_pp,15,-0.12492149839113043,0.2029227050501425,1000,0,conditional_fixed_models
laboratory,aortic_aneurysm,brier,15,0.00026023799980702013,0.004141412952306463,1000,0,conditional_fixed_models
laboratory,aortic_aneurysm,auc,15,0.681499839594916,0.9693378245469383,1000,0,conditional_fixed_models
laboratory,aortic_aneurysm,mean_bias_pp,15,-0.3144425643130579,0.06999770426194867,1000,0,conditional_fixed_models
laboratory,chronic_respiratory,brier,15,0.0037520668238122173,0.010969126315851434,1000,0,conditional_fixed_models
laboratory,chronic_respiratory,auc,15,0.7939093569484709,0.9266332776235585,1000,0,conditional_fixed_models
laboratory,chronic_respiratory,mean_bias_pp,15,-0.34237270501847006,0.43940224970728603,1000,0,conditional_fixed_models
laboratory,dementia,brier,15,5.527056592822848e-06,0.0021455084551202687,1000,0,conditional_fixed_models
laboratory,dementia,auc,15,0.7965175914201377,0.9809602580333118,871,129,defined_draws_only_not_nominal_95pct
laboratory,dementia,mean_bias_pp,15,-0.05443184601207643,0.1754211855294163,1000,0,conditional_fixed_models
laboratory,diabetes,brier,15,0.0016793539539041043,0.008250699032810824,1000,0,conditional_fixed_models
laboratory,diabetes,auc,15,0.796150317553024,0.9160168514040486,1000,0,conditional_fixed_models
laboratory,diabetes,mean_bias_pp,15,-0.5174374713447972,0.15790803702881817,1000,0,conditional_fixed_models
laboratory,renal,brier,15,0.00022615564899388412,0.002227792177576933,1000,0,conditional_fixed_models
laboratory,renal,auc,15,0.8289529114456212,0.9688012201543903,1000,0,conditional_fixed_models
laboratory,renal,mean_bias_pp,15,-0.06016659284054109,0.13039483438879115,1000,0,conditional_fixed_models
laboratory,chronic_liver,brier,15,0.00024909965775873883,0.0049717312805779,1000,0,conditional_fixed_models
laboratory,chronic_liver,auc,15,0.3332264719423334,0.9790015756776868,996,4,defined_draws_only_not_nominal_95pct
laboratory,chronic_liver,mean_bias_pp,15,-0.2814364828735148,0.19902567132835053,1000,0,conditional_fixed_models
laboratory,lung_cancer,brier,15,0.004983961942795288,0.012949637969103313,1000,0,conditional_fixed_models
laboratory,lung_cancer,auc,15,0.6151381210200982,0.836105153335466,1000,0,conditional_fixed_models
laboratory,lung_cancer,mean_bias_pp,15,-0.42493683351550154,0.4444395026799804,1000,0,conditional_fixed_models
laboratory,colorectal_cancer,brier,15,0.0021101435919400006,0.008147115094049853,1000,0,conditional_fixed_models
laboratory,colorectal_cancer,auc,15,0.6158232379126685,0.9247512713428947,1000,0,conditional_fixed_models
laboratory,colorectal_cancer,mean_bias_pp,15,-0.36356055983860625,0.23151896380916026,1000,0,conditional_fixed_models
laboratory,pancreatic_cancer,brier,15,0.0009900454224895216,0.007212025003740912,1000,0,conditional_fixed_models
laboratory,pancreatic_cancer,auc,15,0.6096654938353716,0.9233653711256457,1000,0,conditional_fixed_models
laboratory,pancreatic_cancer,mean_bias_pp,15,-0.4869856628140275,0.15108354440123467,1000,0,conditional_fixed_models
laboratory,breast_cancer,brier,15,0.0010323775969411483,0.0048840484477144855,1000,0,conditional_fixed_models
laboratory,breast_cancer,auc,15,0.5981793185185099,0.841444292119124,1000,0,conditional_fixed_models
laboratory,breast_cancer,mean_bias_pp,15,0.08371789256310429,0.49827646383267166,1000,0,conditional_fixed_models
laboratory,prostate_cancer,brier,15,0.0007295059746509479,0.004274247328663123,1000,0,conditional_fixed_models
laboratory,prostate_cancer,auc,15,0.9349852399799194,0.9822314628487538,1000,0,conditional_fixed_models
laboratory,prostate_cancer,mean_bias_pp,15,-0.12266189336397741,0.243524576446112,1000,0,conditional_fixed_models
laboratory,gastric_cancer,brier,15,0.0010175905316401103,0.0034784279254474666,1000,0,conditional_fixed_models
laboratory,gastric_cancer,auc,15,0.7053114935167769,0.9268286970016144,1000,0,conditional_fixed_models
laboratory,gastric_cancer,mean_bias_pp,15,-0.14218069555344653,0.10549944030915431,1000,0,conditional_fixed_models
laboratory,hematologic_cancer,brier,15,0.0023516289481272995,0.0064903758445295,1000,0,conditional_fixed_models
laboratory,hematologic_cancer,auc,15,0.6269903221041773,0.9183241716314233,1000,0,conditional_fixed_models
laboratory,hematologic_cancer,mean_bias_pp,15,-0.03119455178085411,0.3724309872119186,1000,0,conditional_fixed_models
laboratory,infection,brier,15,0.004727983190406214,0.012449578295685501,1000,0,conditional_fixed_models
laboratory,infection,auc,15,0.6727020582050206,0.8965727365494318,1000,0,conditional_fixed_models
laboratory,infection,mean_bias_pp,15,-0.6396247653323666,0.193741383647975,1000,0,conditional_fixed_models
laboratory,external,brier,15,0.005940514371038571,0.011943000100561606,1000,0,conditional_fixed_models
laboratory,external,auc,15,0.4750358528117446,0.6594732574290051,1000,0,conditional_fixed_models
laboratory,external,mean_bias_pp,15,-0.4890317420097962,0.1070726396372558,1000,0,conditional_fixed_models
laboratory,other_or_unresolved,brier,15,0.027950980520817743,0.04582383749494977,1000,0,conditional_fixed_models
laboratory,other_or_unresolved,auc,15,0.7757230171637018,0.832073612020145,1000,0,conditional_fixed_models
laboratory,other_or_unresolved,mean_bias_pp,15,-0.06135175759715934,2.0402678584802025,1000,0,conditional_fixed_models
delta_lab_minus_clinical,multistate,brier,15,-0.001627101505970914,0.002430395456555407,1000,0,conditional_fixed_models
delta_lab_minus_clinical,all_cause,brier,15,-0.0014146131986502147,0.0019341153707005453,1000,0,conditional_fixed_models
delta_lab_minus_clinical,all_cause,auc,15,-0.004692846324890152,0.004696543769588194,1000,0,conditional_fixed_models
delta_lab_minus_clinical,all_cause,mean_bias_pp,15,-0.36513614372476005,0.36118893138716207,1000,0,conditional_fixed_models
delta_lab_minus_clinical,ihd,brier,15,-0.0005207318547898546,0.001093048157333378,1000,0,conditional_fixed_models
delta_lab_minus_clinical,ihd,auc,15,-0.013295541876777797,0.006976150644617692,1000,0,conditional_fixed_models
delta_lab_minus_clinical,ihd,mean_bias_pp,15,-0.07325362196171406,0.26214488679427456,1000,0,conditional_fixed_models
delta_lab_minus_clinical,heart_failure,brier,15,-8.285442284509157e-06,6.717358928069152e-06,1000,0,conditional_fixed_models
delta_lab_minus_clinical,heart_failure,auc,15,-0.028905549933220098,0.05158880011235963,1000,0,conditional_fixed_models
delta_lab_minus_clinical,heart_failure,mean_bias_pp,15,-0.012110635659208295,0.004215109512912807,1000,0,conditional_fixed_models
delta_lab_minus_clinical,stroke,brier,15,-0.00011650774106082424,5.782726301543765e-05,1000,0,conditional_fixed_models
delta_lab_minus_clinical,stroke,auc,15,-0.0014956767040899405,0.0240002510454304,1000,0,conditional_fixed_models
delta_lab_minus_clinical,stroke,mean_bias_pp,15,-0.05144497436004758,0.01043459759434158,1000,0,conditional_fixed_models
delta_lab_minus_clinical,hypertension,brier,15,-1.9471168677118385e-05,5.9251712889872885e-05,1000,0,conditional_fixed_models
delta_lab_minus_clinical,hypertension,auc,15,-0.050104833592374005,0.0493797922230908,1000,0,conditional_fixed_models
delta_lab_minus_clinical,hypertension,mean_bias_pp,15,-0.05395069294112488,0.012580662787542413,1000,0,conditional_fixed_models
delta_lab_minus_clinical,aortic_aneurysm,brier,15,-1.3980603170594619e-06,2.3648668256188256e-06,1000,0,conditional_fixed_models
delta_lab_minus_clinical,aortic_aneurysm,auc,15,-0.1135804091944828,0.016375064802178173,1000,0,conditional_fixed_models
delta_lab_minus_clinical,aortic_aneurysm,mean_bias_pp,15,-0.010867746501681324,-0.0009553937390526832,1000,0,conditional_fixed_models
delta_lab_minus_clinical,chronic_respiratory,brier,15,-5.1600993967601626e-05,0.00010693235093949017,1000,0,conditional_fixed_models
delta_lab_minus_clinical,chronic_respiratory,auc,15,-0.021684758339665315,0.008717518033610086,1000,0,conditional_fixed_models
delta_lab_minus_clinical,chronic_respiratory,mean_bias_pp,15,-0.0570662843091146,-0.007641140496787696,1000,0,conditional_fixed_models
delta_lab_minus_clinical,dementia,brier,15,-8.67206309026888e-06,8.234578205001703e-06,1000,0,conditional_fixed_models
delta_lab_minus_clinical,dementia,auc,15,-0.14028510143237263,0.12484276554582174,871,129,defined_draws_only_not_nominal_95pct
delta_lab_minus_clinical,dementia,mean_bias_pp,15,-0.021795941964588957,-0.0076947074109750034,1000,0,conditional_fixed_models
delta_lab_minus_clinical,diabetes,brier,15,-2.0448399405282e-05,6.067791480677453e-05,1000,0,conditional_fixed_models
delta_lab_minus_clinical,diabetes,auc,15,-0.03679134736840543,0.043274461809936035,1000,0,conditional_fixed_models
delta_lab_minus_clinical,diabetes,mean_bias_pp,15,-0.01416972284756218,0.008080704376693375,1000,0,conditional_fixed_models
delta_lab_minus_clinical,renal,brier,15,-6.087764942308565e-06,-8.846314230491148e-07,1000,0,conditional_fixed_models
delta_lab_minus_clinical,renal,auc,15,-0.02922741574492086,0.05567167608380093,1000,0,conditional_fixed_models
delta_lab_minus_clinical,renal,mean_bias_pp,15,-0.00835439256893023,-0.0007340756849163266,1000,0,conditional_fixed_models
