study,subgroup,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
primary,male,clinical,15,1362,other_or_unresolved,0.042870850060448266,0.778945213707936,0.046700711512671786,0.0532215306882152,0.8774777972143647,0.6520819175543418,102.0
primary,age25_49,clinical,15,1731,multistate,0.10781693056940321,,,,,,
primary,age25_49,clinical,15,1731,all_cause,0.05136311051524713,0.74819086110905,0.057582063803427924,0.05803624349969216,0.9921742058259397,0.04541796962642328,111.0
primary,age25_49,clinical,15,1731,ihd,0.01767518971943331,0.8144628298871177,0.018403568814186054,0.012632219842164668,1.4568752795733804,-0.5771348972021386,24.0
primary,age25_49,clinical,15,1731,heart_failure,0.0013078525735146093,0.800335057451711,0.0013108799726090563,0.0009139869021326126,1.4342437178808252,-0.03968930704764436,4.0
primary,age25_49,clinical,15,1731,stroke,0.0023375252125224745,0.9066964548946143,0.002362000661820967,0.002077264014172462,1.1370729217402527,-0.028473664764850498,6.0
primary,age25_49,clinical,15,1731,hypertension,0.0010971673115753452,0.8679408580129833,0.0010958859440296498,0.0011022901277518574,0.9941901106061168,0.0006404183722207588,1.0
primary,age25_49,clinical,15,1731,aortic_aneurysm,9.399317823359108e-08,,0.0,0.00020318503536505058,0.0,0.020318503536505057,0.0
primary,age25_49,clinical,15,1731,chronic_respiratory,0.0009515358763271823,0.8671657707233486,0.0009518924573766253,0.001605497232100799,0.5928957324523508,0.06536047747241738,3.0
primary,age25_49,clinical,15,1731,dementia,6.461230370274894e-07,,0.0,0.0004564441067229231,0.0,0.04564441067229231,0.0
primary,age25_49,clinical,15,1731,diabetes,0.0004958987314388257,0.9499550146938037,0.0005092927405819813,0.0014813695721174077,0.343798570031393,0.09720768315354264,2.0
primary,age25_49,clinical,15,1731,renal,2.984355909103835e-07,,0.0,0.0003721468911334345,0.0,0.037214689113343455,0.0
primary,age25_49,clinical,15,1731,chronic_liver,0.0025125392403599085,0.7015950160478175,0.0025171968073983177,0.0016378473571219707,1.5368934085661938,-0.0879349450276347,3.0
primary,age25_49,clinical,15,1731,lung_cancer,0.0014450749382213758,0.7905806240252897,0.0014404494571903174,0.00315272620349577,0.45689012118880945,0.17122767463054525,4.0
primary,age25_49,clinical,15,1731,colorectal_cancer,0.0010598393099768959,0.673293506528323,0.001061233733061088,0.0016631191635321577,0.6380984335525445,0.060188543047106975,3.0
primary,age25_49,clinical,15,1731,pancreatic_cancer,0.0001897974231840846,0.557468540228038,0.00018867974252510805,0.0009334520134887818,0.20213116453615707,0.07447722709636737,1.0
primary,age25_49,clinical,15,1731,breast_cancer,0.00343895142229268,0.7669597118125571,0.0034595829331841993,0.003063504498198886,1.1292893270495206,-0.03960784349853132,9.0
primary,age25_49,clinical,15,1731,prostate_cancer,2.0378919635552942e-06,,0.0,0.000614484027043253,0.0,0.061448402704325306,0.0
primary,age25_49,clinical,15,1731,gastric_cancer,7.118666231801578e-07,,0.0,0.00046924252521359086,0.0,0.04692425252135909,0.0
primary,age25_49,clinical,15,1731,hematologic_cancer,0.002822194014475097,0.9126994772547149,0.0028514760967930392,0.0031298429137429067,0.9110604510764487,0.02783668169498675,3.0
primary,age25_49,clinical,15,1731,infection,0.002905590718920453,0.5359284728534325,0.0029114340619652945,0.001493343604582138,1.9496076141029588,-0.14180904573831565,5.0
